"country_code","log_recent","cluster"
"ABW",9.54958043944427,1
"AFE",12.0737688148704,3
"AFG",10.1543174233747,2
"AFW",11.9422034136281,3
"AGO",11.0285011853968,2
"ALB",10.2768380035564,2
"AND",9.52530803859472,1
"ARB",12.5494128005996,4
"ARE",11.705062750883,3
"ARG",11.8001211532291,3
"ARM",10.2903346085129,2
"ASM",8.94001815500766,1
"ATG",9.27131486968369,1
"AUS",12.2286458368612,3
"AUT",11.6729673562867,3
"AZE",10.8960909268629,2
"BDI",9.52358036651972,1
"BEL",11.7659929220301,3
"BEN",10.2404691884389,2
"BFA",10.2746211143779,2
"BGD",11.66294780862,3
"BGR",10.9559097460495,2
"BHR",10.6472195690665,2
"BHS",10.1105021692558,2
"BIH",10.3887032996098,2
"BLR",10.8620923482564,2
"BLZ",9.45186432158535,1
"BMU",9.87771680086498,2
"BOL",10.6435344235238,2
"BRA",12.2833228929033,3
"BRB",9.75587104605506,1
"BRN",10.2222360491966,2
"BTN",9.44216669337932,1
"BWA",10.3086826698863,2
"CAF",9.37705453053388,1
"CAN",12.3347518983957,3
"CEB",12.2887405360581,3
"CHE",11.912979709684,3
"CHI",10.0695076009888,2
"CHL",11.4786021681912,3
"CHN",13.2543830157568,4
"CIV",10.8452141363316,2
"CMR",10.6399252268522,2
"COD",10.8110293906141,2
"COG",10.1991240227666,2
"COL",11.5360811060396,3
"COM",9.09430318083232,1
"CPV",9.34769333052382,1
"CRI",10.84037980217,2
"CSS",10.9771152813276,2
"CUW",9.48787065936791,1
"CYM",9.83536250007284,1
"CYP",10.4661336567375,2
"CZE",11.4632442789338,3
"DEU",12.6109229478416,4
"DJI",9.54593877929767,1
"DMA",8.78350391646854,1
"DNK",11.6022414851796,3
"DOM",11.0551388229541,2
"DZA",11.2900311587502,3
"EAP",13.3262082489687,4
"EAR",13.1507079547411,4
"EAS",13.4873150305868,4
"ECA",12.6158796029218,4
"ECS",13.4038787556602,4
"ECU",11.0608846449879,2
"EGY",11.6782886250838,3
"EMU",13.1503263476499,4
"ESP",12.1516151148396,3
"EST",10.5809342423326,2
"ETH",11.1030626394936,2
"EUU",13.2239252174508,4
"FCS",12.2801534409421,3
"FIN",11.4512487408964,3
"FJI",9.69722755901027,1
"FRA",12.4439029610058,3
"FRO",9.5509531827201,1
"FSM",8.62736585659273,1
"GAB",10.3237003830025,2
"GBR",12.4898281325052,3
"GEO",10.3941151660078,2
"GHA",10.8678565430573,2
"GIN",10.3222033550169,2
"GMB",9.33988741773813,1
"GNB",9.21313484919029,1
"GNQ",10.0802524050383,2
"GRC",11.3376216161666,3
"GRD",9.08471178371946,1
"GRL",9.50998294629404,1
"GTM",10.9777388296305,2
"GUM",9.78696425943573,1
"GUY",10.1678602618658,2
"HIC",13.7904928445552,4
"HKG",11.5561077284882,3
"HND",10.50130168382,2
"HPC",11.9915310255752,3
"HRV",10.8549133234643,2
"HTI",10.3065011968651,2
"HUN",11.2488004266678,3
"IBD",13.5769441796625,4
"IBT",13.6082474198752,4
"IDA",12.4506834595502,3
"IDB",12.0700718010632,3
"IDN",12.1202777929054,3
"IDX",12.2168898368294,3
"IND",12.5335999616015,4
"IRL",11.7268412772886,3
"IRN",11.6164683795839,3
"IRQ",11.4219035094008,3
"ISL",10.4481577711346,2
"ISR",11.7201613281671,3
"ITA",12.3116981757235,3
"JAM",10.2329392350164,2
"JOR",10.6871130324282,2
"JPN",12.6290435324702,4
"KAZ",11.3531394759684,3
"KEN",11.0546896742672,2
"KGZ",10.0623550600006,2
"KHM",10.4698931066587,2
"KIR",8.34899181793468,1
"KNA",8.98481473687537,1
"KOR",12.2237337822439,3
"KWT",11.2439386235471,3
"LAC",12.7285596659693,4
"LAO",10.1894562089791,2
"LBN",10.3642120863811,2
"LBR",9.60217364977742,1
"LBY",10.6604132733016,2
"LCA",9.36990270633063,1
"LCN",12.7995121938477,4
"LDC",12.1544571234611,3
"LIC",11.7227363663026,3
"LIE",9.88707578727926,2
"LKA",10.8715938229938,2
"LMC",12.9123029268541,4
"LMY",13.5889476891609,4
"LSO",9.34956931499009,1
"LTE",13.4483311796287,4
"LTU",10.8511022832644,2
"LUX",10.911912613112,2
"LVA",10.6120632842852,2
"MAC",10.3809757830501,2
"MAF",8.81238270078297,1
"MAR",11.1169813117064,2
"MCO",9.94369247205309,2
"MDA",10.1616175234859,2
"MDG",10.1846117403751,2
"MDV",9.79033012188156,1
"MEA",12.646072454842,4
"MEX",12.166090742903,3
"MHL",8.41292143632844,1
"MIC",13.5829938714877,4
"MKD",10.1323599917151,2
"MLI",10.2747851947106,2
"MLT",10.258291541401,2
"MMR",10.7942332945879,2
"MNA",12.2296084956827,3
"MNE",9.79447421459824,1
"MNG",10.2341747651463,2
"MOZ",10.2649791418161,2
"MRT",9.99037720151837,2
"MUS",10.1122270630572,2
"MWI",10.1194098987927,2
"MYS",11.6096237009356,3
"NAC",13.4410464196582,4
"NAM",10.1110921459069,2
"NCL",9.98332486959471,2
"NER",10.185889873864,2
"NGA",11.6745163204245,3
"NIC",10.1951128931905,2
"NLD",12.0040627492611,3
"NOR",11.7733102012508,3
"NPL",10.6109607367013,2
"NRU",8.18083624635817,1
"NZL",11.3946297497808,3
"OED",13.7770632722327,4
"OMN",11.0594398145986,2
"OSS",11.7249367708811,3
"PAK",11.5736806405727,3
"PAN",10.8837892170136,2
"PER",11.3849473143656,3
"PHL",11.6066869042926,3
"PLW",8.36717511180998,1
"PNG",10.4997368180578,2
"POL",11.8376673429556,3
"PRE",12.2087759894127,3
"PRI",11.0547463096667,2
"PRT",11.4068749877442,3
"PRY",10.6203681918439,2
"PSE",10.2813038643704,2
"PSS",10.0138619714731,2
"PST",13.7498258289615,4
"PYF",9.76452441564414,1
"QAT",11.3733870798864,3
"ROU",11.47812094194,3
"RUS",12.3503299114671,3
"RWA",10.1242265868866,2
"SAS",12.6424989026841,4
"SAU",12.0447637159986,3
"SDN",10.713173247548,2
"SEN",10.4422329938033,2
"SGP",11.6691200799297,3
"SLB",9.20336048178067,1
"SLE",9.61220764882465,1
"SLV",10.5117326012223,2
"SMR",9.26843353398116,1
"SOM",10.017848596333,2
"SRB",10.8032071266554,2
"SSA",12.3136443151158,3
"SSF",12.3139792364652,3
"SST",11.8034695981181,3
"STP",8.73454939939324,1
"SUR",9.55882708476157,1
"SVK",11.0624379915098,2
"SVN",10.778610458269,2
"SWE",11.7721148868024,3
"SWZ",9.68041910620551,1
"SXM",9.18669893674621,1
"SYC",9.20097030756175,1
"SYR",9.95276886042592,2
"TCA",9.05645084537137,1
"TCD",10.1039456074382,2
"TEA",13.325665987304,4
"TEC",12.7151461467477,4
"TGO",9.9212298487817,2
"THA",11.6949764655498,3
"TJK",10.0208633892689,2
"TKM",10.7523777498561,2
"TLA",12.7782648416393,4
"TLS",9.50579456275631,1
"TMN",12.2246909503028,3
"TON",8.67138412295883,1
"TSA",12.6424989026841,4
"TSS",12.3139792364652,3
"TTO",10.4778961424887,2
"TUN",10.6656143117516,2
"TUR",11.9576639934799,3
"TUV",7.77133740682083,1
"TZA",10.879281213506,2
"UGA",10.6586533400091,2
"UKR",11.2054824433632,3
"UMC",13.4787241688189,4
"URY",10.8523405712553,2
"USA",13.405511985549,4
"UZB",10.9052120438854,2
"VCT",8.97706446771322,1
"VIR",9.64777405026883,1
"VNM",11.6115134143826,3
"VUT",9.02358648010346,1
"WLD",14.0038031828877,4
"WSM",8.92061643277279,1
"XKX",9.97356532431521,2
"ZAF",11.6077453673828,3
"ZMB",10.4648438452734,2
"ZWE",10.4372212753398,2
