sowc_education__completion_completion-rate-2013-2021-r_primary-education_avg,sowc_education__completion_completion-rate-2013-2021-r_lower-secondary-education_avg,sowc_education__completion_completion-rate-2013-2021-r_upper-secondary-education_avg,iso3,sowc_education__completion_completion_rate_2013_2021_avg
53.699999,37.4639205,23.3404595,AFG,38.16812633
94.927166,97.670807,78.041935,ALB,90.21330267
94.772995,69.330755,46.8975205,DZA,70.33375683
59.95512,36.882285,19.4541645,AGO,38.7638565
96.8535005,79.627502,60.1372815,ARG,78.87276133
99.250946,96.885803,74.0943645,ARM,90.07703783
82.7000005,64.8500005,29.3999995,BGD,58.9833335
98.949997,97.950001,94.0499995,BRB,96.9833325
99.9321745,98.79953,98.1546785,BLR,98.96212767
95.4000015,60.1499995,49.1000005,BLZ,68.21666717
47.606224,19.248405,8.7503084,BEN,25.2016458
68.6500015,39.049999,21.4000005,BTN,43.03333367
92.4373815,82.9069135,65.7613565,BOL,80.3685505
99.5499995,96.8500025,92.1500015,BIH,96.1833345
96.3999975,91.549999,60.900002,BWA,82.9499995
95.549999,84.75,69.699997,BRA,83.333332
30.5999995,9.39999995,4.3000001,BFA,14.76666652
50.049999,22.5500005,3.5,BDI,25.3666665
73.5,39.950001,19.9499995,KHM,44.46666683
74.307087,47.5817295,23.2093495,CMR,48.36605533
26.721285,12.61269,6.3561492,CAF,15.2300414
26.820445,13.43161255,4.708418,TCD,14.98682518
96.302654,95.6259995,85.574547,CHL,92.50106683
97.049999,93.150002,65.1500015,CHN,85.1166675
93.0499995,77.533058,73.715885,COL,81.43298083
75.9500005,46.200001,27.6500005,COM,49.933334
80.002552,50.6625955,23.57197,COG,51.4123725
98.176449,72.998375,58.1124095,CRI,76.42907783
56.3999995,29,15.9000005,CIV,33.76666667
99.6703035,94.1877825,58.9808755,CUB,84.27965383
100,99.8500025,99.8499985,PRK,99.90000033
66.681011,54.634905,31.5625355,COD,50.95948383
90.6616555,76.902115,61.1900405,DOM,76.25127033
98.200001,90.25,78.5499995,ECU,89.00000017
91.0436705,80.3381805,41.9606745,EGY,71.11417517
86.4500005,73.2999995,34.8999995,SLV,64.88333317
70.53418,50.630024,32.2327895,SWZ,51.13233117
47.42774,20.873835,12.056885,ETH,26.78615333
70.2991525,32.433635,13.74073,GAB,38.82450583
62.174164,48.7696705,30.5095195,GMB,47.151118
99.9063985,97.715248,80.9942515,GEO,92.871966
71.0128635,47.572975,10.2013962,GHA,42.92907823
78.095886,48.4190805,26.308425,GTM,50.9411305
45.189846,26.2996205,17.28361,GIN,29.5910255
27.1439895,17.0981455,10.90788755,GNB,18.38334085
53.572094,35.03341,16.7829645,HTI,35.1294895
87.3055535,54.105631,32.928585,HND,58.1132565
91.446499,80.8600005,43.0739995,IND,71.79349967
96.6701045,88.080959,63.15139,IDN,82.63415117
75.5499995,46.3999995,44.25,IRQ,55.39999967
99.299999,96.549999,81.75,JAM,92.53333267
96.4878805,87.003754,56.079895,JOR,79.8571765
99.8500025,99.75,95.199997,KAZ,98.2666665
79.099998,64.8999995,41.0500015,KEN,61.683333
94.293617,78.6312865,16.5147045,KIR,63.146536
99.25,98.950001,87,KGZ,95.066667
83.4291915,53.5457745,31.071235,LAO,56.01540033
80.2000005,44.150002,31.8000015,LSO,52.05000133
34.25,26.2,13.6999998,LBR,24.7166666
55.8999995,26.3,15.25,MDG,32.48333317
47.1000005,22.1999995,14.1,MWI,27.8
45.200001,30.4499995,17.45,MLI,31.0333335
63.196209,46.822159,27.266874,MRT,45.76174733
97.9000015,88.5499995,58.150002,MEX,81.53333433
97.388775,90.0544625,66.5853595,MNG,84.676199
96.0191115,94.7083855,86.2269515,MNE,92.3181495
41.4174345,12.809315,6.81941915,MOZ,20.34872288
83.054974,44.799299,16.553865,MMR,48.136046
80.549999,55.1999985,36.1499995,NAM,57.299999
81.7857095,73.0254935,27.216935,NPL,60.676046
29.194215,6.952687,2.64106005,NER,12.92932068
70.5999985,62.749998,50.25,NGA,61.19999883
98.3331375,94.052261,82.664425,MKD,91.6832745
59.7277165,49.657669,23.443991,PAK,44.27645883
95.1500015,77.799999,62.4000015,PAN,78.45000067
94.099998,79.8999975,63.1000005,PRY,79.033332
95,82.599998,74.699997,PER,84.09999833
91.848282,81.4348375,78.703293,PHL,83.99547083
99.099812,96.4704475,66.898649,MDA,87.48963617
54.400002,27.6999995,17.5,RWA,33.2000005
99.0999985,91.815426,79.6499975,LCA,90.188474
97.729038,96.8305625,56.68063,WSM,83.7467435
87.1388855,59.9082165,28.558445,STP,58.53518233
47.071005,28.93149,10.50417225,SEN,28.83555575
99.85017,99.523094,94.3246345,SRB,97.8992995
64.1999985,44.6000005,22.45,SLE,43.74999967
96.322964,88.403057,48.3141195,ZAF,77.68004683
24.828405,16.0306618,7.7610765,SSD,16.20671443
98.956936,95.1344565,37.4712965,LKA,77.187563
99.5067675,86.1693875,62.404768,PSE,82.693641
64.793478,50.3738495,30.646965,SDN,48.60476417
84.969791,49.4953745,22.33712,SUR,52.2674285
98.4377175,94.4045525,71.529888,TJK,88.12405267
98.6423755,86.4935265,65.5456715,THA,83.5605245
80.841816,66.127537,51.8676735,TLS,66.27900883
79.7020305,47.0163135,21.5525095,TGO,49.42361783
98.2158585,70.7066265,50.747555,TON,73.22334667
95.049999,74.2999995,48.75,TUN,72.6999995
100,99.0204355,96.92762,TKM,98.64935183
98.9643135,99.043331,97.75779,TCA,98.58847817
99.247017,82.6962395,52.9330405,TUV,78.292099
41.195841,25.090165,16.7745305,UGA,27.6868455
99.6500015,99.599998,96.8500025,UKR,98.70000067
79.3499985,28.8000005,29.5500005,TZA,45.89999983
97.3497275,69.10046,38.6160495,URY,68.35541233
96.6500015,83.75,55.6999985,VNM,78.7
62.550001,46.8999995,30.0999995,YEM,46.51666667
72.1400455,51.830608,30.10032,ZMB,51.35699117
89,48.700001,15.4000005,ZWE,51.03333383
